order_number,date,warehouse,client_type,product_line,quantity,unit_price,total,payment,payment_fee
N11157,2021-01-25,North,Wholesale,Electrical system,13,364.27,4735.51,Transfer,1.5
N11158,2021-01-15,West,Retail,Braking system,18,136.37,2454.66,Transfer,1.4
N11159,2021-01-5,Central,Wholesale,Electrical system,5,489.31,2446.55,Cash,1.83
N11160,2021-01-3,West,Wholesale,Braking system,18,196.42,3535.56,Credit card,3.75
N11161,2021-01-2,North,Wholesale,Miscellaneous,4,387.67,1550.68,Transfer,1.11
N11162,2021-01-11,North,Retail,Frame & body,14,38.29,536.06,Cash,1.08
N11163,2021-01-13,West,Wholesale,Braking system,15,79.2,1188.0,Credit card,1.39
N11164,2021-01-28,North,Wholesale,Electrical system,15,219.05,3285.75,Credit card,1.1
N11165,2021-01-25,Central,Retail,Frame & body,2,279.68,559.36,Cash,1.38
N11166,2021-01-17,North,Retail,Miscellaneous,19,215.17,4088.23,Cash,3.45
N11167,2021-01-1,West,Retail,Miscellaneous,16,347.97,5567.52,Transfer,4.84
N11168,2021-01-7,North,Wholesale,Braking system,4,411.53,1646.12,Transfer,2.5
N11169,2021-01-1,West,Wholesale,Braking system,13,478.92,6225.96,Cash,3.75
N11170,2021-01-15,West,Retail,Frame & body,2,155.74,311.48,Credit card,2.08
N11171,2021-01-14,Central,Wholesale,Electrical system,17,188.28,3200.76,Transfer,3.98
N11172,2021-01-14,North,Wholesale,Braking system,2,379.44,758.88,Credit card,1.84
N11173,2021-01-5,West,Wholesale,Braking system,10,235.63,2356.3,Credit card,2.19
N11174,2021-01-22,Central,Retail,Electrical system,15,442.96,6644.4,Cash,4.62
N11175,2021-01-20,Central,Retail,Frame & body,13,476.06,6188.78,Transfer,1.1
N11176,2021-01-28,North,Retail,Frame & body,13,415.15,5396.95,Transfer,3.75
N11177,2021-01-21,North,Retail,Electrical system,14,411.6,5762.4,Credit card,1.19
N11178,2021-01-12,North,Retail,Frame & body,17,140.87,2394.79,Transfer,2.2
N11179,2021-01-26,Central,Retail,Electrical system,4,202.33,809.32,Transfer,1.68
N11180,2021-01-4,West,Wholesale,Frame & body,6,447.29,2683.74,Transfer,1.6
N11181,2021-01-25,North,Wholesale,Electrical system,10,114.97,1149.7,Transfer,4.3
N11182,2021-01-4,North,Wholesale,Electrical system,19,324.48,6165.12,Credit card,1.24
N11183,2021-01-6,West,Wholesale,Electrical system,13,499.5,6493.5,Cash,1.09
N11184,2021-01-21,West,Retail,Braking system,3,420.24,1260.72,Cash,3.34
N11185,2021-01-18,North,Retail,Miscellaneous,11,265.8,2923.8,Cash,2.81
N11186,2021-01-8,North,Wholesale,Suspension & traction,14,134.19,1878.66,Transfer,2.51
N11187,2021-01-19,West,Wholesale,Frame & body,2,81.45,162.9,Credit card,4.56
N11188,2021-01-17,West,Retail,Electrical system,5,432.07,2160.35,Credit card,2.16
N11189,2021-01-16,North,Retail,Frame & body,3,22.63,67.89,Cash,2.3
N11190,2021-01-16,Central,Wholesale,Braking system,8,207.07,1656.56,Transfer,2.14
N11191,2021-01-26,North,Retail,Frame & body,15,68.47,1027.05,Transfer,2.47
N11192,2021-01-21,North,Retail,Frame & body,18,279.53,5031.54,Cash,3.77
N11193,2021-01-22,West,Wholesale,Braking system,19,216.16,4107.04,Credit card,1.27
N11194,2021-01-11,North,Wholesale,Frame & body,14,190.27,2663.78,Transfer,4.69
N11195,2021-01-9,Central,Retail,Suspension & traction,3,47.7,143.1,Transfer,4.27
N11196,2021-01-27,North,Wholesale,Frame & body,14,483.21,6764.94,Cash,2.41
N11197,2021-01-18,West,Retail,Braking system,5,324.2,1621.0,Cash,4.17
N11198,2021-01-5,West,Retail,Suspension & traction,20,337.6,6752.0,Transfer,2.65
N11199,2021-01-2,Central,Wholesale,Frame & body,10,375.96,3759.6,Transfer,3.84
N11600,2021-05-8,West,Wholesale,Electrical system,9,290.13,2611.17,Cash,1.79
N11601,2021-05-24,West,Retail,Suspension & traction,13,54.23,704.99,Transfer,2.25
N11602,2021-05-28,North,Retail,Frame & body,1,361.53,361.53,Cash,2.77
N11603,2021-05-15,Central,Wholesale,Suspension & traction,8,416.41,3331.28,Transfer,1.04
N11604,2021-05-14,North,Wholesale,Braking system,14,32.28,451.92,Credit card,2.67
N11605,2021-05-10,West,Retail,Electrical system,14,243.91,3414.74,Transfer,2.2
N11606,2021-05-9,West,Retail,Suspension & traction,10,120.58,1205.8,Transfer,2.22
N11607,2021-05-12,North,Retail,Frame & body,9,180.08,1620.72,Cash,2.87
N11608,2021-05-7,West,Wholesale,Frame & body,6,429.3,2575.8,Cash,2.67
N11609,2021-05-16,North,Wholesale,Braking system,16,369.52,5912.32,Credit card,3.01
N11610,2021-05-11,West,Retail,Electrical system,19,450.06,8551.14,Cash,1.59
N11611,2021-05-28,West,Wholesale,Braking system,20,44.51,890.2,Transfer,3.41
N11612,2021-05-23,West,Wholesale,Electrical system,16,89.97,1439.52,Credit card,2.24
N11613,2021-05-7,West,Retail,Frame & body,6,223.16,1338.96,Credit card,3.47
N11614,2021-05-26,North,Wholesale,Suspension & traction,1,201.65,201.65,Cash,4.31
N11615,2021-05-14,North,Wholesale,Electrical system,13,352.49,4582.37,Credit card,4.67
N11616,2021-05-6,North,Retail,Frame & body,5,434.0,2170.0,Cash,1.42
N11617,2021-05-3,North,Retail,Miscellaneous,18,173.55,3123.9,Credit card,2.8
N11618,2021-05-11,North,Retail,Braking system,13,101.22,1315.86,Cash,2.94
N11619,2021-05-25,North,Wholesale,Frame & body,5,120.68,603.4,Credit card,3.6
N11620,2021-05-26,North,Wholesale,Miscellaneous,19,361.97,6877.43,Credit card,2.47
N11621,2021-05-14,North,Wholesale,Electrical system,9,419.79,3778.11,Credit card,2.87
N11622,2021-05-27,West,Retail,Frame & body,11,382.03,4202.33,Cash,2.03
N11623,2021-05-23,Central,Retail,Frame & body,1,279.45,279.45,Cash,4.2
N11624,2021-05-7,North,Retail,Miscellaneous,15,329.0,4935.0,Transfer,4.84
N11625,2021-05-22,North,Retail,Miscellaneous,1,157.95,157.95,Credit card,3.01
N11626,2021-05-2,North,Retail,Electrical system,11,198.19,2180.09,Cash,1.87
N11627,2021-05-16,North,Retail,Frame & body,10,447.31,4473.1,Credit card,3.52
N11628,2021-05-28,North,Retail,Miscellaneous,17,410.8,6983.6,Credit card,4.28
N11629,2021-05-9,West,Retail,Frame & body,12,104.76,1257.12,Cash,2.98
N11630,2021-05-5,North,Wholesale,Braking system,20,435.25,8705.0,Cash,4.39
N11631,2021-05-7,North,Wholesale,Miscellaneous,6,212.44,1274.64,Cash,2.98
N11632,2021-05-14,West,Retail,Suspension & traction,13,232.54,3023.02,Cash,3.7
N11633,2021-05-25,Central,Wholesale,Suspension & traction,9,58.34,525.06,Transfer,3.22
N11634,2021-05-24,North,Wholesale,Frame & body,17,245.21,4168.57,Transfer,4.49
N11635,2021-05-1,West,Wholesale,Frame & body,15,472.05,7080.75,Cash,3.96
N11636,2021-05-24,Central,Wholesale,Braking system,6,363.75,2182.5,Credit card,1.09
N11637,2021-05-20,Central,Wholesale,Miscellaneous,1,324.94,324.94,Transfer,3.84
N11638,2021-05-26,West,Wholesale,Frame & body,8,36.08,288.64,Credit card,3.3
N11639,2021-05-27,West,Retail,Miscellaneous,2,344.96,689.92,Cash,3.0
N11640,2021-05-22,North,Retail,Suspension & traction,18,400.05,7200.9,Cash,3.75
N11641,2021-05-12,West,Retail,Suspension & traction,7,53.59,375.13,Cash,2.32
N11642,2021-05-7,North,Wholesale,Braking system,18,111.94,2014.92,Cash,3.01
N11643,2021-05-21,West,Retail,Braking system,17,462.06,7855.02,Cash,2.29
N11644,2021-05-9,North,Retail,Miscellaneous,14,93.04,1302.56,Cash,2.12
N11645,2021-05-18,West,Retail,Miscellaneous,4,229.99,919.96,Credit card,3.44
N11646,2021-05-3,West,Wholesale,Braking system,7,18.71,130.97,Cash,4.27
N11647,2021-05-12,Central,Retail,Braking system,17,319.6,5433.2,Transfer,3.35
N11648,2021-05-1,Central,Wholesale,Frame & body,11,473.74,5211.14,Transfer,3.18
N11649,2021-05-15,West,Retail,Electrical system,16,80.18,1282.88,Cash,1.34
N11650,2021-05-23,West,Wholesale,Miscellaneous,3,284.61,853.83,Credit card,2.57
N11651,2021-05-28,North,Retail,Electrical system,15,354.83,5322.45,Credit card,1.72
N11652,2021-05-15,North,Retail,Braking system,2,343.33,686.66,Credit card,1.33
N11653,2021-05-24,West,Wholesale,Miscellaneous,10,236.03,2360.3,Cash,1.12
N11654,2021-05-12,Central,Retail,Electrical system,7,308.9,2162.3,Cash,1.45
N11655,2021-05-7,North,Wholesale,Miscellaneous,14,175.51,2457.14,Transfer,3.16
N11656,2021-05-8,North,Wholesale,Suspension & traction,9,170.08,1530.72,Cash,3.43
N11657,2021-05-1,North,Wholesale,Electrical system,3,316.46,949.38,Credit card,2.91
N11658,2021-05-24,Central,Wholesale,Miscellaneous,9,44.9,404.1,Credit card,1.33
N11659,2021-05-22,West,Wholesale,Frame & body,11,492.01,5412.11,Cash,3.15
N11660,2021-05-24,West,Retail,Miscellaneous,15,297.44,4461.6,Cash,1.64
N11661,2021-05-15,North,Retail,Braking system,17,433.71,7373.07,Cash,1.22
N11662,2021-05-17,West,Retail,Braking system,20,52.42,1048.4,Cash,3.39
N11663,2021-05-22,Central,Retail,Frame & body,6,401.52,2409.12,Credit card,4.37
N11664,2021-05-10,Central,Wholesale,Electrical system,14,57.97,811.58,Cash,3.34
N11665,2021-05-10,North,Retail,Electrical system,15,144.98,2174.7,Cash,1.67
N11666,2021-05-15,North,Wholesale,Braking system,18,75.99,1367.82,Credit card,2.24
N11667,2021-05-15,West,Retail,Frame & body,2,307.19,614.38,Credit card,3.55
N11668,2021-05-17,Central,Retail,Braking system,15,121.34,1820.1,Cash,1.9
N11669,2021-05-17,North,Retail,Braking system,17,398.87,6780.79,Credit card,2.55
N11670,2021-05-27,Central,Retail,Electrical system,10,394.67,3946.7,Transfer,2.67
N11671,2021-05-25,North,Retail,Suspension & traction,4,452.32,1809.28,Credit card,2.9
N11672,2021-05-17,West,Wholesale,Suspension & traction,5,123.93,619.65,Cash,2.91
N11673,2021-05-1,Central,Retail,Electrical system,14,69.28,969.92,Credit card,3.18
N11674,2021-05-21,West,Wholesale,Electrical system,14,291.55,4081.7,Credit card,4.33
N11675,2021-05-6,North,Retail,Electrical system,16,283.55,4536.8,Credit card,2.54
N11676,2021-05-19,Central,Retail,Miscellaneous,8,253.86,2030.88,Cash,3.27
N11677,2021-05-13,Central,Retail,Frame & body,8,275.01,2200.08,Credit card,3.85
N11678,2021-05-2,West,Wholesale,Suspension & traction,1,156.92,156.92,Credit card,4.24
N11679,2021-05-5,West,Wholesale,Electrical system,13,46.74,607.62,Credit card,4.25
N11680,2021-05-26,Central,Retail,Miscellaneous,11,497.4,5471.4,Credit card,3.53
N11681,2021-05-4,West,Wholesale,Frame & body,17,14.48,246.16,Credit card,3.17
N11682,2021-05-3,West,Retail,Suspension & traction,4,339.36,1357.44,Transfer,1.28
N11683,2021-05-11,Central,Wholesale,Miscellaneous,1,136.33,136.33,Cash,1.8
N11684,2021-05-23,West,Retail,Miscellaneous,13,263.16,3421.08,Credit card,3.8
N11685,2021-05-7,Central,Wholesale,Miscellaneous,12,499.41,5992.92,Credit card,3.65
N11686,2021-05-17,North,Retail,Suspension & traction,12,401.79,4821.48,Cash,1.97
N11687,2021-05-8,West,Retail,Electrical system,1,454.42,454.42,Cash,3.0
N11688,2021-05-4,Central,Retail,Miscellaneous,18,78.7,1416.6,Cash,2.69
N11689,2021-05-28,North,Wholesale,Electrical system,6,172.49,1034.94,Cash,4.77
N11690,2021-05-4,West,Wholesale,Miscellaneous,2,393.85,787.7,Transfer,3.91
N11691,2021-05-17,West,Wholesale,Electrical system,8,370.58,2964.64,Transfer,4.86
N11692,2021-05-2,North,Retail,Miscellaneous,7,119.86,839.02,Cash,2.44
N11693,2021-05-9,Central,Wholesale,Frame & body,12,128.62,1543.44,Cash,3.5
N11694,2021-05-27,North,Retail,Miscellaneous,20,32.15,643.0,Transfer,4.84
N11695,2021-05-8,Central,Retail,Braking system,3,236.55,709.65,Transfer,3.72
N11696,2021-05-20,North,Retail,Suspension & traction,8,382.4,3059.2,Transfer,1.63
N11697,2021-05-1,North,Retail,Suspension & traction,3,419.35,1258.05,Credit card,4.78
N11698,2021-05-6,Central,Wholesale,Miscellaneous,3,463.54,1390.62,Transfer,4.43
N11699,2021-05-25,North,Wholesale,Suspension & traction,20,465.06,9301.2,Cash,2.43
N11700,2021-07-28,Central,Wholesale,Frame & body,12,208.67,2504.04,Credit card,1.43
N11701,2021-07-26,North,Retail,Electrical system,12,108.08,1296.96,Transfer,2.79
N11702,2021-07-13,Central,Wholesale,Suspension & traction,5,415.65,2078.25,Credit card,3.29
N11703,2021-07-8,West,Retail,Braking system,9,165.87,1492.83,Transfer,3.62
N11704,2021-07-18,West,Retail,Braking system,14,223.91,3134.74,Credit card,3.99
N11705,2021-07-11,West,Retail,Miscellaneous,8,439.51,3516.08,Credit card,1.89
N11706,2021-07-7,West,Retail,Electrical system,10,197.72,1977.2,Cash,1.69
N11707,2021-07-3,Central,Wholesale,Miscellaneous,6,24.36,146.16,Transfer,1.8
N11708,2021-07-3,Central,Wholesale,Miscellaneous,2,182.93,365.86,Credit card,4.04
N11709,2021-07-2,North,Wholesale,Miscellaneous,15,79.53,1192.95,Transfer,2.34
N11710,2021-07-25,West,Wholesale,Braking system,1,148.45,148.45,Credit card,3.46
N11711,2021-07-12,Central,Wholesale,Electrical system,3,450.78,1352.34,Cash,2.36
N11712,2021-07-13,West,Retail,Frame & body,14,425.8,5961.2,Transfer,1.99
N11713,2021-07-10,North,Wholesale,Miscellaneous,4,322.35,1289.4,Cash,4.12
N11714,2021-07-14,West,Retail,Suspension & traction,8,379.47,3035.76,Credit card,3.9
N11715,2021-07-10,North,Wholesale,Braking system,14,122.06,1708.84,Cash,4.49
N11716,2021-07-21,Central,Wholesale,Frame & body,16,442.81,7084.96,Cash,3.77
N11717,2021-07-26,North,Wholesale,Electrical system,16,111.25,1780.0,Cash,4.82
N11718,2021-07-27,West,Retail,Frame & body,10,145.48,1454.8,Transfer,4.21
N11719,2021-07-26,Central,Retail,Frame & body,4,113.48,453.92,Transfer,4.03
N11720,2021-07-11,Central,Retail,Frame & body,3,498.87,1496.61,Transfer,1.92
N11721,2021-07-10,West,Wholesale,Suspension & traction,3,493.36,1480.08,Transfer,4.96
N11722,2021-07-4,Central,Wholesale,Frame & body,9,77.56,698.04,Credit card,4.8
N11723,2021-07-11,West,Wholesale,Suspension & traction,7,317.41,2221.87,Credit card,3.7
N11724,2021-07-8,Central,Retail,Suspension & traction,5,321.48,1607.4,Transfer,2.6
N11725,2021-07-2,Central,Retail,Frame & body,9,150.09,1350.81,Transfer,1.64
N11726,2021-07-25,North,Retail,Miscellaneous,9,349.15,3142.35,Transfer,2.16
N11727,2021-07-25,West,Wholesale,Frame & body,18,224.26,4036.68,Credit card,1.57
N11728,2021-07-16,West,Retail,Braking system,10,163.71,1637.1,Transfer,3.62
N11729,2021-07-19,North,Retail,Frame & body,11,40.72,447.92,Transfer,4.14
N11730,2021-07-24,North,Retail,Electrical system,6,470.33,2821.98,Credit card,4.75
N11731,2021-07-4,West,Retail,Braking system,16,145.68,2330.88,Credit card,2.64
N11732,2021-07-15,Central,Retail,Suspension & traction,19,199.87,3797.53,Cash,1.09
N11733,2021-07-20,Central,Retail,Braking system,4,229.55,918.2,Cash,2.67
N11734,2021-07-24,West,Wholesale,Braking system,11,57.77,635.47,Credit card,4.81
N11735,2021-07-9,North,Retail,Braking system,18,392.39,7063.02,Transfer,3.52
N11736,2021-07-12,North,Wholesale,Frame & body,12,311.04,3732.48,Cash,3.96
N11737,2021-07-5,North,Retail,Suspension & traction,13,48.2,626.6,Transfer,3.39
N11738,2021-07-28,North,Retail,Miscellaneous,14,216.35,3028.9,Credit card,2.57
N11739,2021-07-2,West,Retail,Miscellaneous,20,325.27,6505.4,Cash,2.9
N11740,2021-07-5,Central,Retail,Braking system,9,339.14,3052.26,Transfer,2.65
N11741,2021-07-7,West,Retail,Suspension & traction,9,371.85,3346.65,Cash,1.19
N11742,2021-07-13,West,Wholesale,Suspension & traction,19,174.95,3324.05,Credit card,1.92
N11743,2021-07-7,West,Wholesale,Suspension & traction,19,355.59,6756.21,Transfer,3.14
N11744,2021-07-24,West,Wholesale,Suspension & traction,18,124.68,2244.24,Transfer,1.5
N11745,2021-07-8,North,Retail,Miscellaneous,19,127.76,2427.44,Transfer,2.69
N11746,2021-07-8,West,Wholesale,Braking system,3,64.06,192.18,Credit card,3.92
N11747,2021-07-21,North,Retail,Frame & body,13,324.86,4223.18,Cash,4.37
N11748,2021-07-11,West,Wholesale,Miscellaneous,19,16.58,315.02,Transfer,2.48
N11749,2021-07-13,North,Retail,Electrical system,13,447.06,5811.78,Credit card,3.82
N11750,2021-07-16,West,Retail,Braking system,18,231.72,4170.96,Transfer,2.22
N11751,2021-07-22,Central,Retail,Frame & body,8,76.98,615.84,Credit card,3.28
N11752,2021-07-24,West,Retail,Electrical system,9,317.75,2859.75,Transfer,2.38
N11753,2021-07-15,North,Wholesale,Suspension & traction,15,191.9,2878.5,Credit card,4.52
N11754,2021-07-21,North,Wholesale,Braking system,10,384.54,3845.4,Credit card,2.29
N11755,2021-07-24,West,Wholesale,Suspension & traction,19,103.01,1957.19,Credit card,3.17
N11756,2021-07-1,Central,Wholesale,Electrical system,2,70.24,140.48,Transfer,2.17
N11757,2021-07-25,North,Retail,Frame & body,10,488.16,4881.6,Cash,3.06
N11758,2021-07-1,North,Retail,Suspension & traction,9,398.38,3585.42,Credit card,4.46
N11759,2021-07-25,Central,Wholesale,Frame & body,5,302.02,1510.1,Cash,1.43
N11760,2021-07-21,North,Wholesale,Miscellaneous,3,490.58,1471.74,Transfer,1.19
N11761,2021-07-25,North,Retail,Frame & body,18,347.04,6246.72,Cash,1.68
N11762,2021-07-2,North,Retail,Suspension & traction,15,328.88,4933.2,Credit card,2.31
N11763,2021-07-27,Central,Wholesale,Electrical system,11,344.39,3788.29,Transfer,4.06
N11764,2021-07-22,Central,Wholesale,Miscellaneous,17,73.55,1250.35,Cash,1.63
N11765,2021-07-26,North,Wholesale,Suspension & traction,7,209.48,1466.36,Cash,4.2
N11766,2021-07-28,Central,Retail,Miscellaneous,9,67.74,609.66,Credit card,3.58
N11767,2021-07-25,West,Wholesale,Braking system,2,129.46,258.92,Cash,3.86
N11768,2021-07-7,Central,Wholesale,Electrical system,3,240.14,720.42,Transfer,2.66
N11769,2021-07-22,North,Wholesale,Braking system,3,300.29,900.87,Transfer,4.06
N11770,2021-07-17,Central,Wholesale,Suspension & traction,1,234.26,234.26,Credit card,2.27
N11771,2021-07-7,West,Wholesale,Electrical system,18,27.95,503.1,Credit card,1.52
N11772,2021-07-19,Central,Wholesale,Braking system,4,490.17,1960.68,Transfer,1.69
N11773,2021-07-20,Central,Wholesale,Miscellaneous,16,13.02,208.32,Transfer,2.84
N11774,2021-07-14,Central,Retail,Miscellaneous,13,33.76,438.88,Credit card,3.4
N11775,2021-07-24,West,Wholesale,Suspension & traction,3,206.61,619.83,Transfer,1.07
N11776,2021-07-13,Central,Wholesale,Suspension & traction,13,310.39,4035.07,Cash,3.79
N11777,2021-07-10,West,Wholesale,Suspension & traction,8,248.77,1990.16,Credit card,2.48
N11778,2021-07-26,North,Wholesale,Suspension & traction,9,202.52,1822.68,Credit card,2.01
N11779,2021-07-5,North,Wholesale,Braking system,7,194.4,1360.8,Transfer,3.7
N11780,2021-07-9,West,Wholesale,Miscellaneous,8,145.99,1167.92,Credit card,4.87
N11781,2021-07-2,North,Retail,Braking system,19,66.2,1257.8,Transfer,4.9
N11782,2021-07-23,Central,Retail,Braking system,13,332.47,4322.11,Cash,3.42
N11783,2021-07-1,West,Retail,Frame & body,6,185.08,1110.48,Cash,1.57
N11784,2021-07-15,North,Wholesale,Electrical system,5,469.1,2345.5,Transfer,2.09
N11785,2021-07-16,West,Retail,Electrical system,7,398.52,2789.64,Cash,3.48
N11786,2021-07-18,Central,Retail,Braking system,19,30.92,587.48,Cash,3.8
N11787,2021-07-9,Central,Wholesale,Electrical system,2,268.34,536.68,Cash,4.12
N11788,2021-07-3,North,Wholesale,Suspension & traction,19,190.5,3619.5,Credit card,5.0
N11789,2021-07-6,North,Retail,Electrical system,8,439.7,3517.6,Cash,2.71
N11790,2021-07-17,Central,Wholesale,Electrical system,12,127.96,1535.52,Cash,2.48
N11791,2021-07-3,West,Retail,Electrical system,4,72.57,290.28,Transfer,4.17
N11792,2021-07-19,West,Retail,Suspension & traction,6,74.78,448.68,Transfer,1.82
N11793,2021-07-24,West,Retail,Suspension & traction,9,196.71,1770.39,Credit card,3.78
N11794,2021-07-15,North,Wholesale,Frame & body,3,60.22,180.66,Transfer,4.57
N11795,2021-07-23,North,Retail,Miscellaneous,12,182.8,2193.6,Cash,3.95
N11796,2021-07-7,North,Retail,Electrical system,9,475.7,4281.3,Cash,4.51
N11797,2021-07-22,Central,Wholesale,Suspension & traction,13,133.57,1736.41,Credit card,2.64
N11798,2021-07-5,Central,Retail,Braking system,15,416.76,6251.4,Transfer,2.89
N11799,2021-07-18,North,Retail,Braking system,16,264.73,4235.68,Credit card,4.89
N12300,2021-12-18,North,Wholesale,Braking system,4,345.03,1380.12,Credit card,1.39
N12301,2021-12-7,North,Retail,Braking system,2,251.74,503.48,Transfer,4.84
N12302,2021-12-14,West,Wholesale,Miscellaneous,12,200.35,2404.2,Transfer,4.3
N12303,2021-12-16,North,Wholesale,Miscellaneous,7,493.62,3455.34,Credit card,4.8
N12304,2021-12-7,West,Wholesale,Miscellaneous,16,148.65,2378.4,Credit card,2.29
N12305,2021-12-16,West,Wholesale,Frame & body,8,281.98,2255.84,Cash,1.37
N12306,2021-12-2,North,Retail,Frame & body,19,159.33,3027.27,Credit card,2.9
N12307,2021-12-5,North,Retail,Braking system,17,194.88,3312.96,Credit card,4.92
N12308,2021-12-3,West,Retail,Electrical system,7,21.3,149.1,Cash,4.67
N12309,2021-12-28,West,Wholesale,Suspension & traction,16,444.6,7113.6,Credit card,1.68
N12310,2021-12-18,West,Retail,Electrical system,13,317.88,4132.44,Credit card,2.96
N12311,2021-12-21,West,Wholesale,Braking system,6,141.12,846.72,Transfer,3.83
N12312,2021-12-5,Central,Retail,Electrical system,1,358.05,358.05,Cash,4.82
N12313,2021-12-11,West,Retail,Braking system,2,115.7,231.4,Transfer,4.75
N12314,2021-12-2,North,Wholesale,Miscellaneous,16,199.19,3187.04,Credit card,2.89
